2016.10.11 16:05 B c:\healthwatch\index.html --> 118.67.248.128 / index.html
2016.10.11 16:06 B c:\healthwatch\index.html --> 118.67.248.128 /html index.html
2016.10.11 16:13 B c:\healthwatch\about.asp --> 115.112.232.44 /e-healthwatch about.asp
2016.10.11 16:13 B c:\healthwatch\contact.asp --> 115.112.232.44 /e-healthwatch contact.asp
2016.10.11 16:13 B c:\healthwatch\crecycle.asp --> 115.112.232.44 /e-healthwatch crecycle.asp
2016.10.11 16:13 B c:\healthwatch\crefur.asp --> 115.112.232.44 /e-healthwatch crefur.asp
2016.10.11 16:13 B c:\healthwatch\erecycle.asp --> 115.112.232.44 /e-healthwatch erecycle.asp
2016.10.11 16:13 B c:\healthwatch\flatscreen.asp --> 115.112.232.44 /e-healthwatch flatscreen.asp
2016.10.11 16:13 B c:\healthwatch\index.asp --> 115.112.232.44 /e-healthwatch index.asp
2016.10.11 16:13 B c:\healthwatch\ip.asp --> 115.112.232.44 /e-healthwatch ip.asp
2016.10.11 16:13 B c:\healthwatch\ip.htm --> 115.112.232.44 /e-healthwatch ip.htm
2016.10.11 16:13 B c:\healthwatch\laptop.asp --> 115.112.232.44 /e-healthwatch laptop.asp
2016.10.11 16:13 B c:\healthwatch\page.asp --> 115.112.232.44 /e-healthwatch page.asp
2016.10.11 16:13 B c:\healthwatch\undercon.htm --> 115.112.232.44 /e-healthwatch undercon.htm
